metabolite,model,kind,perm,r2,rmse,mae
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_only,real,-1,0.6732909547111752,3.7476169005832567,2.386485685526763
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Soil_only,real,-1,0.5962270737945568,4.166229667384269,2.841950994285253
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_Soil_late,real,-1,0.6901070897217152,3.6498954954651226,2.489049013971487
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_only,,0,-0.0403934613568037,6.687648159521684,6.355890505360417
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Soil_only,,0,0.0174096926369574,6.499214152448274,5.9605791749679184
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_Soil_late,,0,-0.0004004450065173,6.557851041689729,6.237297106242669
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_only,,1,-0.0024347747682456,6.564515401098992,6.321350558060306
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Soil_only,,1,-0.0989543885212473,6.87328644195882,6.476954436214323
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_Soil_late,,1,-0.0021215941840388,6.563489878332047,6.368031721506512
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_only,,2,-0.0253366186534547,6.639079107989213,6.3674805625920445
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Soil_only,,2,0.0002489879924892,6.555722106070469,6.137834650409662
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_Soil_late,,2,0.0045229298994965,6.54169422093064,6.298586788937328
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_only,,3,0.025181892930537,6.473459023641939,6.108908638880869
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Soil_only,,3,-0.1442784162715478,7.013591426370793,6.695428966274584
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_Soil_late,,3,-0.001089971505009,6.56011065342425,6.284864737098983
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_only,,4,0.0106781005998929,6.521438767360674,6.159989923838992
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Soil_only,,4,-0.0715057340535212,6.78690639234157,6.431415936085026
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_Soil_late,,4,0.0073071143690226,6.532539798028385,6.241417727512803
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_only,,5,-0.059951036682309,6.750213536216332,6.505726874770638
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Soil_only,,5,-0.0684553771587963,6.777239042465807,6.405432520634272
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_Soil_late,,5,-0.0262009750714817,6.641876882715021,6.475217793555715
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_only,,6,-0.0987200891543824,6.872553703401552,6.689328818987622
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Soil_only,,6,-0.1114961754382337,6.912395771788902,6.608062273611416
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_Soil_late,,6,-0.0849701430375331,6.8294149844019865,6.664948855374761
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_only,,7,-0.0558689048582838,6.737202631810392,6.525008936225519
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Soil_only,,7,-0.1189562744138366,6.9355541596809145,6.549639674624746
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_Soil_late,,7,-0.0495616053176268,6.717049938326097,6.5323981577452885
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_only,,8,-0.0771398418533351,6.8047261890611885,6.406019610311135
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Soil_only,,8,-0.1407039795815514,7.002628514456824,6.654602312425552
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG_Soil_late,,8,-0.0711842973784881,6.7858883276737325,6.480594420945459
