metabolite,r2_real_MGSoil,r2_null_mean_MGSoil,n_perm,p_perm,r2_real_MGonly,r2_real_Soilonly,p_fdr_bh,significant_fdr_005
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.6901070897217152,,0,,0.6732909547111752,0.5962270737945568,,False
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.5962594532147517,,0,,0.5907710622812892,0.4925447940692432,,False
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.5240535440343251,,0,,0.5112568435545308,0.4710333444146423,,False
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,0.5030390220322121,,0,,0.4919261515590603,0.418191212196632,,False
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.4894704879727258,,0,,0.5050894903819634,0.3616925190819264,,False
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.4605470215423815,,0,,0.4515717389343262,0.3918656899693122,,False
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,0.4299786319765375,,0,,0.3329553172177877,0.5268617460067433,,False
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.4073696757720806,,0,,0.3754760924919772,0.3870315084459473,,False
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.4025882694203386,,0,,0.372971531948106,0.3330830880257618,,False
HILICZ_negative|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,0.2753553145296044,,0,,0.2905670474443717,0.1177827555863301,,False
