metabolite,MG_Soil_late,MG_only,Soil_only,delta_integrated_vs_MG,delta_integrated_vs_Soil,metabolite_short
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.4922393750967203,0.4986657674649066,0.380104174488754,-0.006426392368186318,0.11213520060796628,C18-|AIONOLUJ
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,0.2829763821659254,0.286859458420314,0.1597716138133549,-0.0038830762543886066,0.12320476835257052,C18-|BJRNKVDF
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,0.3130984277856709,0.342790707530421,0.1192873446940702,-0.02969227974475014,0.19381108309160067,C18-|CKEXCBVN
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.2785906371053875,0.2710216212095594,0.1380070320884562,0.007569015895828091,0.14058360501693132,C18-|GHOKWGTU
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,0.3421546447432952,0.2913643481382953,0.3508842870621891,0.050790296604999896,-0.008729642318893893,C18-|GUNGQVJA
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.4205227789140425,0.3960597487059245,0.3563317920392745,0.02446303020811802,0.06419098687476799,C18-|GYUCMTKU
C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,0.3272460241699455,0.3251693833692124,0.1711614330482475,0.0020766408007331094,0.15608459112169804,C18-|KDYFGRWQ
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0.41839055546874,0.3879709605078371,0.388217751538614,0.030419594960902907,0.030172803930126002,C18-|LTSJJOKA
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.3776207243640931,0.3689969536854038,0.284798517342948,0.008623770678689302,0.09282220702114513,C18-|NGFMICBW
C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,0.2885828640643302,0.2649753599352021,0.2427710265978085,0.0236075041291281,0.045811837466521704,C18-|OKVJCVWF
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.6979839056001764,0.6833882031658467,0.5669012483757445,0.014595702434329727,0.1310826572244319,C18-|RGHHSNMV
C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,0.2820306772664793,0.2774075750612756,0.1691453099976969,0.004623102205203677,0.1128853672687824,C18-|UGAGPNKC
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.5959256492417602,0.5841596544256086,0.4910818014448902,0.011765994816151593,0.10484384779686995,C18-|WLJVXDMO
C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,0.3766273861069449,0.3773818428162989,0.2911869445529524,-0.0007544567093539789,0.0854404415539925,C18-|ZWNLSRDF
C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.2952666391866588,0.2753491611437727,0.1800378718813617,0.019917478042886072,0.1152287673052971,C18+|GHOKWGTU
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,0.4350499516459969,0.3295012423018052,0.533020359645239,0.1055487093441917,-0.09797040799924206,C18+|GUMFPOIJ
C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,0.3716146620803703,0.3394322907851046,0.2922877559324611,0.03218237129526569,0.07932690614790922,C18+|IBMRTYCH
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.5226274900960761,0.508954190218246,0.4641642836291765,0.01367329987783017,0.05846320646689962,C18+|LVGKNOAM
C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.3257274298110496,0.287483156692326,0.3026611389063393,0.03824427311872358,0.023066290904710296,C18+|LWYJCVVI
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.3788582480401986,0.3374215549838252,0.3306263103638419,0.041436693056373375,0.048231937676356695,C18+|MBIZFBDR
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,0.455736024683754,0.4329601508561247,0.375073447770914,0.0227758738276293,0.08066257691284001,C18+|MECHNRXZ
C18_positive|IK:OVASVJPBDPJABT-UHFFFAOYSA-N,0.3165211309833349,0.2741112795702635,0.2548339499776876,0.04240985141307141,0.061687181005647296,C18+|OVASVJPB
C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.4241429239299517,0.4186106127873474,0.3300699185131758,0.005532311142604274,0.09407300541677588,C18+|OYTCZOJK
C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.3359060506334912,0.3093913003406696,0.2683710743196839,0.02651475029282163,0.06753497631380734,C18+|PUQSUZTX
C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,0.2583245907910533,0.1849224565674155,0.2807819321447489,0.07340213422363781,-0.022457341353695592,C18+|WCGUUGGR
C18_positive|NAME:,0.3338607107779405,0.3239008630479236,0.2146568601839393,0.009959847730016902,0.11920385059400118,C18_positive|NAME:
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.3359491766139864,0.3006906243693713,0.2988235990653917,0.035258552244615105,0.03712557754859469,HILICZ_negative|LWYJCVVI
HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,0.2599965290845986,0.2540752374215277,0.1504116967025085,0.005921291663070871,0.10958483238209007,HILICZ_negative|QZZGJDVW
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.4213945128767717,0.3822933761799131,0.4100258251593898,0.03910113669685861,0.01136868771738192,HILICZ_positive|OYTCZOJK
HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,0.3612309161982803,0.3422375928650891,0.2724954448019733,0.018993323333191203,0.088735471396307,HILICZ_positive|XPCTZQVD
