Unnamed: 0,soil_total_C,chem__C (%),chem__LBCeq (mg/kg CaCO3/pH dry weight),chem__LBC (mg/kg CaCO3/pH dry weight),chem__NH4-N (mg/kg dry weight),soil_NH4,chem__P (Mehlich 1 mg/kg dry weight),psize__Soil Sand Content %,soil_pH,chem__pH,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),soil_NO3,chem__NO3-N (mg/kg dry weight),moist__Replicate 3 Mass Water / Mass Dry Soil %,psize__Soil Clay Content %,moist__Replicate 1 Mass Water / Mass Dry Soil %,moist__Replicate 2 Mass Water / Mass Dry Soil %,psize__Soil Silt Content %
soil_total_C,1.0,1.0,0.9485827786229418,0.9485827786229418,0.9073354555560056,0.9073354555560056,-0.8538159430459762,0.8075844129348159,-0.7895738183785079,-0.7895738183785079,0.7463388729072683,0.7747313304823796,0.7747313304823796,0.7229728316104841,-0.7230630929307355,0.7118069415525086,0.700457262502949,0.6659483514380483
chem__C (%),1.0,1.0,0.9485827786229418,0.9485827786229418,0.9073354555560056,0.9073354555560056,-0.8538159430459762,0.8075844129348159,-0.7895738183785079,-0.7895738183785079,0.7463388729072683,0.7747313304823796,0.7747313304823796,0.7229728316104841,-0.7230630929307355,0.7118069415525086,0.700457262502949,0.6659483514380483
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.9485827786229418,0.9485827786229418,1.0,1.0,0.889484959369319,0.889484959369319,-0.8958937156035931,0.8295488236291637,-0.8237429980967773,-0.8237429980967773,0.7380150858997087,0.7645841954416888,0.7645841954416888,0.7489108259478724,-0.7748740003088304,0.7394398738603822,0.7352190181544659,0.7037348738264957
chem__LBC (mg/kg CaCO3/pH dry weight),0.9485827786229418,0.9485827786229418,1.0,1.0,0.889484959369319,0.889484959369319,-0.8958937156035931,0.8295488236291637,-0.8237429980967773,-0.8237429980967773,0.7380150858997087,0.7645841954416888,0.7645841954416888,0.7489108259478724,-0.7748740003088304,0.7394398738603822,0.7352190181544659,0.7037348738264957
chem__NH4-N (mg/kg dry weight),0.9073354555560056,0.9073354555560056,0.889484959369319,0.889484959369319,1.0,1.0,-0.8472367236723672,0.792739490659023,-0.8145040843900672,-0.8145040843900672,0.6864446444644464,0.7582609875203472,0.7582609875203472,0.7046380592259891,-0.722990656592675,0.6927942204629747,0.6697070714052009,0.6650026458568432
soil_NH4,0.9073354555560056,0.9073354555560056,0.889484959369319,0.889484959369319,1.0,1.0,-0.8472367236723672,0.792739490659023,-0.8145040843900672,-0.8145040843900672,0.6864446444644464,0.7582609875203472,0.7582609875203472,0.7046380592259891,-0.722990656592675,0.6927942204629747,0.6697070714052009,0.6650026458568432
chem__P (Mehlich 1 mg/kg dry weight),-0.8538159430459762,-0.8538159430459762,-0.8958937156035931,-0.8958937156035931,-0.8472367236723672,-0.8472367236723672,1.0,-0.7995486090121181,0.8035216022619075,0.8035216022619075,-0.731053105310531,-0.7022653282691265,-0.7022653282691265,-0.7392509742904613,0.7718594694919947,-0.7172595477633431,-0.7188296047288837,-0.7141199497605978
psize__Soil Sand Content %,0.8075844129348159,0.8075844129348159,0.8295488236291637,0.8295488236291637,0.792739490659023,0.792739490659023,-0.7995486090121181,1.0,-0.7549488188656629,-0.7549488188656629,0.6941156593818442,0.7441055669794132,0.7441055669794132,0.6539384803464273,-0.8269001608979534,0.645915687134641,0.6371574215133656,0.6548254152196388
soil_pH,-0.7895738183785079,-0.7895738183785079,-0.8237429980967773,-0.8237429980967773,-0.8145040843900672,-0.8145040843900672,0.8035216022619075,-0.7549488188656629,1.0,1.0,-0.5826056735079821,-0.7108349615749138,-0.7108349615749138,-0.5916115539842328,0.6614147161794881,-0.5808471843153382,-0.5773045243690117,-0.5760595838517
chem__pH,-0.7895738183785079,-0.7895738183785079,-0.8237429980967773,-0.8237429980967773,-0.8145040843900672,-0.8145040843900672,0.8035216022619075,-0.7549488188656629,1.0,1.0,-0.5826056735079821,-0.7108349615749138,-0.7108349615749138,-0.5916115539842328,0.6614147161794881,-0.5808471843153382,-0.5773045243690117,-0.5760595838517
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.7463388729072683,0.7463388729072683,0.7380150858997087,0.7380150858997087,0.6864446444644464,0.6864446444644464,-0.731053105310531,0.6941156593818442,-0.5826056735079821,-0.5826056735079821,1.0,0.7565246880086814,0.7565246880086814,0.8449979904600394,-0.7100099777847149,0.8460910689337166,0.8477507513115862,0.665232165968543
soil_NO3,0.7747313304823796,0.7747313304823796,0.7645841954416888,0.7645841954416888,0.7582609875203472,0.7582609875203472,-0.7022653282691265,0.7441055669794132,-0.7108349615749138,-0.7108349615749138,0.7565246880086814,1.0,1.0,0.6726513067751405,-0.7756412803622487,0.6694159105818108,0.6378428608657987,0.7244229310407109
chem__NO3-N (mg/kg dry weight),0.7747313304823796,0.7747313304823796,0.7645841954416888,0.7645841954416888,0.7582609875203472,0.7582609875203472,-0.7022653282691265,0.7441055669794132,-0.7108349615749138,-0.7108349615749138,0.7565246880086814,1.0,1.0,0.6726513067751405,-0.7756412803622487,0.6694159105818108,0.6378428608657987,0.7244229310407109
moist__Replicate 3 Mass Water / Mass Dry Soil %,0.7229728316104841,0.7229728316104841,0.7489108259478724,0.7489108259478724,0.7046380592259891,0.7046380592259891,-0.7392509742904613,0.6539384803464273,-0.5916115539842328,-0.5916115539842328,0.8449979904600394,0.6726513067751405,0.6726513067751405,1.0,-0.6440878967989044,0.9760677400753058,0.9766259095737356,0.6115057002418657
psize__Soil Clay Content %,-0.7230630929307355,-0.7230630929307355,-0.7748740003088304,-0.7748740003088304,-0.722990656592675,-0.722990656592675,0.7718594694919947,-0.8269001608979534,0.6614147161794881,0.6614147161794881,-0.7100099777847149,-0.7756412803622487,-0.7756412803622487,-0.6440878967989044,1.0,-0.6151781389876427,-0.61251502318898,-0.9444629015952372
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.7118069415525086,0.7118069415525086,0.7394398738603822,0.7394398738603822,0.6927942204629747,0.6927942204629747,-0.7172595477633431,0.645915687134641,-0.5808471843153382,-0.5808471843153382,0.8460910689337166,0.6694159105818108,0.6694159105818108,0.9760677400753058,-0.6151781389876427,1.0,0.9776612247513832,0.576061003332519
moist__Replicate 2 Mass Water / Mass Dry Soil %,0.700457262502949,0.700457262502949,0.7352190181544659,0.7352190181544659,0.6697070714052009,0.6697070714052009,-0.7188296047288837,0.6371574215133656,-0.5773045243690117,-0.5773045243690117,0.8477507513115862,0.6378428608657987,0.6378428608657987,0.9766259095737356,-0.61251502318898,0.9776612247513832,1.0,0.5666713425133383
psize__Soil Silt Content %,0.6659483514380483,0.6659483514380483,0.7037348738264957,0.7037348738264957,0.6650026458568432,0.6650026458568432,-0.7141199497605978,0.6548254152196388,-0.5760595838517,-0.5760595838517,0.665232165968543,0.7244229310407109,0.7244229310407109,0.6115057002418657,-0.9444629015952372,0.576061003332519,0.5666713425133383,1.0
