metabolite,r2,rmse
HILICZ_positive|IK:JHAXQRDTTACRKJ-FQDDALBOSA-N,-0.19606011528972456,0.9910856704847748
C18_negative|IK:GUBGYTABKSRVRQ-QUYVBRFLSA-N,-0.23564524160378264,1.0495083873612883
HILICZ_positive|IK:FDGQSTZJBFJUBT-UHFFFAOYSA-N,-0.25007064067024776,1.0387879948435226
HILICZ_negative|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,-0.28625416819357774,1.0349444688135994
HILICZ_positive|IK:ZBUMLAXYOMYUCL-UHFFFAOYSA-N,-0.306153303950379,1.102601120766529
HILICZ_positive|IK:YNBADRVTZLEFNH-UHFFFAOYSA-N,-0.32331918570942286,0.9930928579143008
HILICZ_negative|IK:FBPFZTCFMRRESA-KVTDHHQDSA-N,-0.3687062889148198,1.0743322727793567
C18_negative|IK:NJRLDXGREKHXGV-IVABAYMNSA-N,-0.46158243789097453,1.1417912005310422
HILICZ_positive|IK:NJMQSVWMCODQIP-FQXXIRCGSA-N,-0.5427542858191572,1.211753495231235
HILICZ_positive|IK:OLXZPDWKRNYJJZ-UHFFFAOYSA-N,-1.0338459237237747,1.1529856247181147
