metabolite,r2,rmse
HILICZ_negative|IK:KCOOTJRKKIDHTM-UHFFFAOYSA-N,0.18993043484620542,0.9271846754114662
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,0.17490028547620529,0.9190459581904309
C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,0.15139993277483543,0.9701691612103314
HILICZ_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.15047864597886584,0.9419722947094338
HILICZ_negative|IK:ODHCTXKNWHHXJC-UHFFFAOYSA-N,0.14742008702118325,0.9328613929987434
HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,0.14672461960654581,0.9424850455398393
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,0.1408600149735545,0.9240322800856763
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,0.13873674259211877,0.9197763808465222
HILICZ_negative|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,0.13250225245218117,0.9496829357049935
HILICZ_positive|IK:OZFDJYNLTZUREV-UHFFFAOYSA-N,0.11840788101034527,0.9655541898719722
C18_positive|IK:ZUUPZDSDPDQRJK-VXPJCVMDSA-N,0.11326703925594561,0.9284652463194175
HILICZ_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.11072401090578088,0.9538594665266105
HILICZ_negative|IK:WHBMMWSBFZVSSR-GSVOUGTGSA-N,0.10665851895750877,0.971098792952082
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,0.0940631694975943,0.9888861306836697
HILICZ_negative|IK:KRKNYBCHXYNGOX-UHFFFAOYSA-N,0.0874279943160029,0.9418060405728118
HILICZ_negative|IK:DLIKSSGEMUFQOK-UHFFFAOYSA-N,0.04608773598535165,1.0126037233338152
HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.039784865624780785,0.942220178738634
HILICZ_negative|IK:AMKYESDOVDKZKV-UHFFFAOYSA-N,0.026340519892185443,0.9950633235414991
HILICZ_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,0.021417838341936446,0.9739119904434438
HILICZ_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,0.015163095041649699,1.0309466109846344
HILICZ_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,0.013777595107099083,1.007581908832362
HILICZ_positive|IK:CKTSBUTUHBMZGZ-SHYZEUOFSA-N,0.006617708023588631,0.9978372561114592
HILICZ_negative|IK:YCIMNLLNPGFGHC-UHFFFAOYSA-N,6.002857771236769e-05,0.9369782657576772
HILICZ_positive|IK:LJVMNMMAZVWXPY-UHFFFAOYSA-N,-0.0018083464958793538,1.0018797987574324
HILICZ_positive|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,-0.003077542982072634,1.1178767141890154
HILICZ_negative|IK:ZBCATMYQYDCTIZ-UHFFFAOYSA-N,-0.005718176838363842,0.979120669645709
HILICZ_negative|IK:VRYALKFFQXWPIH-UHFFFAOYSA-N,-0.01698811947564627,0.9624020848827712
C18_positive|IK:BJHIKXHVCXFQLS-PQLUHFTBSA-N,-0.024606712922081053,1.0523567717062772
HILICZ_negative|IK:IHCCAYCGZOLTEU-UHFFFAOYSA-N,-0.036159119129873574,0.9967265402363205
C18_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,-0.036614656010618196,1.0316703505230884
HILICZ_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,-0.03951185674285451,1.0046815792272412
HILICZ_positive|IK:LZFOPEXOUVTGJS-UHFFFAOYSA-N,-0.06530368004813192,1.0500528041046133
HILICZ_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,-0.07609981337314387,0.9561122361746555
C18_positive|IK:WQZGKKKJIJFFOK-PHYPRBDBSA-N,-0.09733830955388689,1.0360505491172525
C18_negative|IK:WQZGKKKJIJFFOK-DVKNGEFBSA-N,-0.11456934109342654,1.0660975660094423
HILICZ_positive|IK:XEAQIWGXBXCYFX-UHFFFAOYSA-N,-0.11594824014358784,1.0957901975708857
HILICZ_positive|IK:KDJVHSVOXOZBDR-UHFFFAOYSA-N,-0.14838684215754228,1.0269074433721306
HILICZ_negative|IK:SMUMBCREXHTKFN-VZOUQOBNSA-N,-0.16320640894230043,1.088453688848807
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,-0.16450597628521701,0.9110335375850096
HILICZ_positive|IK:UAUDZVJPLUQNMU-KTKRTIGZSA-N,-0.1757844769358683,1.108597114601695
HILICZ_positive|IK:JHAXQRDTTACRKJ-FQDDALBOSA-N,-0.19606011528972456,0.9910856704847748
C18_negative|IK:GUBGYTABKSRVRQ-QUYVBRFLSA-N,-0.23564524160378264,1.0495083873612883
HILICZ_positive|IK:FDGQSTZJBFJUBT-UHFFFAOYSA-N,-0.25007064067024776,1.0387879948435226
HILICZ_negative|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,-0.28625416819357774,1.0349444688135994
HILICZ_positive|IK:ZBUMLAXYOMYUCL-UHFFFAOYSA-N,-0.306153303950379,1.102601120766529
HILICZ_positive|IK:YNBADRVTZLEFNH-UHFFFAOYSA-N,-0.32331918570942286,0.9930928579143008
HILICZ_negative|IK:FBPFZTCFMRRESA-KVTDHHQDSA-N,-0.3687062889148198,1.0743322727793567
C18_negative|IK:NJRLDXGREKHXGV-IVABAYMNSA-N,-0.46158243789097453,1.1417912005310422
HILICZ_positive|IK:NJMQSVWMCODQIP-FQXXIRCGSA-N,-0.5427542858191572,1.211753495231235
HILICZ_positive|IK:OLXZPDWKRNYJJZ-UHFFFAOYSA-N,-1.0338459237237747,1.1529856247181147
