metabolite,r2,rmse
HILICZ_negative|IK:KCOOTJRKKIDHTM-UHFFFAOYSA-N,0.18993043484620542,0.9271846754114662
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,0.17490028547620529,0.9190459581904309
C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,0.15139993277483543,0.9701691612103314
HILICZ_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.15047864597886584,0.9419722947094338
HILICZ_negative|IK:ODHCTXKNWHHXJC-UHFFFAOYSA-N,0.14742008702118325,0.9328613929987434
HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,0.14672461960654581,0.9424850455398393
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,0.1408600149735545,0.9240322800856763
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,0.13873674259211877,0.9197763808465222
HILICZ_negative|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,0.13250225245218117,0.9496829357049935
HILICZ_positive|IK:OZFDJYNLTZUREV-UHFFFAOYSA-N,0.11840788101034527,0.9655541898719722
