metabolite,r2,rmse
HILICZ_negative|IK:VRYALKFFQXWPIH-UHFFFAOYSA-N,-0.19514527353100553,1.0432994166801237
C18_negative|IK:NJRLDXGREKHXGV-IVABAYMNSA-N,-0.2120153987320874,1.0397504153189927
HILICZ_negative|IK:SMUMBCREXHTKFN-VZOUQOBNSA-N,-0.26861381085085156,1.1367010990632422
C18_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,-0.27121363238741725,1.1424614320872726
HILICZ_positive|IK:JHAXQRDTTACRKJ-FQDDALBOSA-N,-0.3161817359919876,1.0396630824698867
HILICZ_positive|IK:YNBADRVTZLEFNH-UHFFFAOYSA-N,-0.3551708648148213,1.0049734352692774
HILICZ_positive|IK:FDGQSTZJBFJUBT-UHFFFAOYSA-N,-0.378717646436171,1.090931071411133
HILICZ_positive|IK:ZBUMLAXYOMYUCL-UHFFFAOYSA-N,-0.42007974335522347,1.149681966386823
HILICZ_negative|IK:FBPFZTCFMRRESA-KVTDHHQDSA-N,-0.49153515748349763,1.1215024794054091
HILICZ_positive|IK:OLXZPDWKRNYJJZ-UHFFFAOYSA-N,-0.6704017792741386,1.0449014693236582
