feature,importance
Catenulispora acidiphila,0.03745820310435561
psize__Soil Clay Content %,0.03362779739085126
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.027622324354159577
psize__Soil Sand Content %,0.02513777773600623
Streptacidiphilus sp. DSM 106435,0.01947273466307158
soil_total_N,0.01921419149359468
Mesorhizobium amorphae,0.01841280219154064
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.017534020816872387
chem__K (Mehlich 1 mg/kg dry weight),0.01547226299268828
Leadbetterella byssophila,0.014980289756081804
Phycicoccus dokdonensis,0.014190057860669215
psize__Soil Silt Content %,0.011353230865144608
denit__Rate (microgN/kilogram dry weight soil/day),0.01013889773711635
chem__Mg (Mehlich 1 mg/kg dry weight),0.009843508645925413
chem__P (Mehlich 1 mg/kg dry weight),0.009632530911153373
Chitinophaga pinensis,0.009200247124097914
Singulisphaera acidiphila,0.008475360013421576
Stenotrophomonas sp. LM091,0.008014353078468919
Actinopolymorpha singaporensis,0.00760431351263628
chem__Mn (Mehlich 1 mg/kg dry weight),0.007565431755745902
Lacunisphaera limnophila,0.00715664754549793
Pseudomonas rhizosphaerae,0.006971013329519264
Phycisphaera mikurensis,0.0069588808945643815
Sphingomonas panacis,0.006869648863030999
soil_pH,0.006795855112646417
chem__Zn (Mehlich 1 mg/kg dry weight),0.006721593342004024
Pseudomonas chlororaphis,0.006635936211124836
Paludisphaera borealis,0.006441046620990976
Pseudarthrobacter chlorophenolicus,0.006325017145939216
soil_total_C,0.005844323405334012
Stenotrophomonas rhizophila,0.0057266317182216465
[Pseudomonas] mesoacidophila,0.00561488198871974
Geodermatophilus obscurus,0.005556127600950561
Paraburkholderia phytofirmans,0.005539304655615481
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,0.0053785290420328554
soil_NO3,0.005343699569938351
Mycolicibacterium phlei,0.005338299878258609
Rhodanobacter denitrificans,0.005283270038003558
Novosphingobium sp. P6W,0.005203365823352472
Elizabethkingia anophelis,0.005010460087705713
Pseudomonas entomophila,0.005003363004483524
soil_NH4,0.004838729728825786
Sphingobium sp. YG1,0.004770163699287362
Phyllobacterium zundukense,0.00472035050531652
Bradyrhizobium erythrophlei,0.004695496079492079
Microlunatus phosphovorus,0.00469253419742996
Sphingomonas sp. KC8,0.004683101547621656
Streptomyces phage phiSASD1,0.0046760832361845625
Archangium gephyra,0.004659994675783837
Paraburkholderia phenoliruptrix,0.004602136990871886
Paraburkholderia phymatum,0.004382526590047843
Streptomyces virus phiC31,0.004343851468880909
Novosphingobium resinovorum,0.004321123880171391
chem__LBC (mg/kg CaCO3/pH dry weight),0.004317078883098638
Pseudarthrobacter phenanthrenivorans,0.004223472944032987
Methylibium petroleiphilum,0.004200996180906424
Sphaerobacter thermophilus,0.004157555632547799
Mycobacterium dioxanotrophicus,0.004153462237019891
Jatrophihabitans sp. GAS493,0.004079339494835314
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.00402533421838465
Microcella alkaliphila,0.003906946506088177
Phenylobacterium zucineum,0.0038939724830343928
Sphingomonas indica,0.0038497425570751635
Stenotrophomonas maltophilia,0.003834285450472333
Xanthomonas phaseoli,0.003820156473162656
chem__Ca (Mehlich 1 mg/kg dry weight),0.0038078696350680036
Pseudomonas sp. LPH1,0.0037892794907405593
Amycolatopsis keratiniphila,0.0037792507976865605
Pseudomonas sp. phDV1,0.0035840963451341046
Pseudomonas alkylphenolica,0.0035790764355133685
Mycobacterium haemophilum,0.0035559717398742094
Sphingomonas sp. LM7,0.003544981005858485
Rhizobacter gummiphilus,0.003517215066830668
Bradyrhizobium oligotrophicum,0.0034779065628665656
Staphylococcus aureus,0.0034565819607783777
Pseudomonas psychrophila,0.0033635305989601133
Sphingomonas taxi,0.00335459202542654
Streptomyces virus phiBT1,0.0033126094340089176
Streptomyces phage phiHau3,0.0032815811217450693
Sphingobium sp. RAC03,0.00327512914766106
Pseudomonas alcaliphila,0.0032630663587969737
Stenotrophomonas sp. ESTM1D_MKCIP4_1,0.0032560594767285663
Stenotrophomonas acidaminiphila,0.003250606939939274
Gemmatimonas phototrophica,0.003242159814576829
Pseudomonas saudiphocaensis,0.003106269453396243
Sphingomonas koreensis,0.0030981903127044784
Sphingobium hydrophobicum,0.0030959952333690145
Kibdelosporangium phytohabitans,0.003095000132806683
Kocuria rhizophila,0.003048795034234877
Phenylobacterium sp. HYN0004,0.002989503128769551
Methyloceanibacter sp. wino2,0.002970710419825581
Flavobacterium psychrophilum,0.0028927987716802256
Sphingobium baderi,0.0028856348598746153
Hyphomicrobium nitrativorans,0.0028770899821944835
Candidatus Protochlamydia amoebophila,0.002839281103622938
Chitinophaga sp. MD30,0.0028074068479032183
Oligotropha carboxidovorans,0.0027989562185000024
Sphingopyxis macrogoltabida,0.0027936729675861415
Stenotrophomonas sp. SAU14A_NAIMI4_8,0.002792481374243105
Polaromonas naphthalenivorans,0.0027722840080086396
Sphingomonas hengshuiensis,0.002771618824072188
Rhizobium phaseoli,0.0027017105900094098
Acidisphaera sp. G45-3,0.00267747959710459
Stenotrophomonas sp. ZAC14A_NAIMI4_1,0.00265595623031068
Rubrobacter xylanophilus,0.0026302417136265964
nitrif__Technical Replicate,0.002595386780695093
[Mycobacterium] stephanolepidis,0.002567774296273981
Hydrogenophaga sp. RAC07,0.002564843165889731
Aeromonas hydrophila,0.0025544974052917713
Sphingobium japonicum,0.0025001941378369552
Streptomyces phage Nanodon,0.002494250272565391
Sphingopyxis fribergensis,0.002479718244802265
Jiangella alkaliphila,0.0024612147001562856
Stenotrophomonas sp. MYb57,0.002431507176456117
Xenorhabdus nematophila,0.0024032433541395014
Chloracidobacterium thermophilum,0.0023816035873599596
Hyphomicrobium denitrificans,0.002367004095977071
Stenotrophomonas sp. G4,0.002358159052141148
Gordonia phage GMA4,0.0023533904195155633
Agrococcus carbonis,0.0023470615270703046
Methylobacterium phyllosphaerae,0.002341630680118061
Hartmannibacter diazotrophicus,0.0023226164114457173
Candidatus Xiphinematobacter sp. Idaho Grape,0.002305251455623821
Methylovorus glucosotrophus,0.0023029282839848154
Rhizobium phage RHEph10,0.0022876597347062113
Hydrogenophaga sp. PBC,0.002278928773091476
Candidatus Accumulibacter phosphatis,0.002257505160501477
Sphingomonas sp. Cra20,0.002242798089995187
Chryseobacterium arthrosphaerae,0.0022047526805046356
Novosphingobium aromaticivorans,0.002156742653046056
Sphingopyxis terrae,0.002113977644343821
Agarilytica rhodophyticola,0.0021033374315849607
Steroidobacter denitrificans,0.0020826701759982993
Sphingomonas sp. LK11,0.002058545013960521
Sphingomonas sp. MM-1,0.0020384186460354527
Sphingomonas wittichii,0.002030504862048271
Gluconacetobacter diazotrophicus,0.0020281220741851383
Phreatobacter cathodiphilus,0.002012387865312611
Rhodococcus coprophilus,0.0019751964263990764
Sphingobium sp. SYK-6,0.0019594743895840834
Stenotrophomonas sp. ZAC14D2_NAIMI4_7,0.001956701256945403
Sphingomonas sanxanigenens,0.0019381211119627447
Sphingopyxis alaskensis,0.001925157984093274
Stenotrophomonas sp. ZAC14D2_NAIMI4_6,0.0019237182569887446
Novosphingobium tardaugens,0.0019072014906302297
Sphingobium yanoikuyae,0.0018906111113882217
Acidiphilium multivorum,0.0018869596531177662
Sphingopyxis sp. EG6,0.0018731154276298541
Sandaracinus amylolyticus,0.0018635550188150086
Verminephrobacter eiseniae,0.0018563395283636619
Sphingobium cloacae,0.0018560068482373255
Mesorhizobium phage vB_MloP_Lo5R7ANS,0.0018371446303879987
Hyphomonas neptunium,0.0018362111840271652
Cytophagales bacterium TFI 002,0.0018270151947850344
Novosphingobium pentaromativorans,0.0018249434440776595
Cnuibacter physcomitrellae,0.0018146554734638169
Novosphingobium sp. PP1Y,0.0018003724006521531
Capnocytophaga ochracea,0.0017921171123872763
Streptococcus thermophilus,0.001791881517842478
Magnetospirillum gryphiswaldense,0.0017632431796271624
Porphyrobacter sp. LM 6,0.0017499938444839151
Novosphingobium sp. THN1,0.0017385963719635318
Polymorphum gilvum,0.0017372839299805384
Sphingobium sp. EP60837,0.0017368828111939802
Thiobacillus denitrificans,0.0017177767082298967
Sphingobium chlorophenolicum,0.001701030789379334
Sphingobium sp. TKS,0.0016849396088415487
Sphingopyxis sp. 113P3,0.0016725592176352034
Hyphomicrobium sp. MC1,0.0016674317081743636
Sideroxydans lithotrophicus,0.0016620826137431128
Sphingobium sp. YBL2,0.0016584724679840112
Glutamicibacter halophytocola,0.0016504022440660356
Methylophaga nitratireducenticrescens,0.0016317717378314144
Sphingobium sp. SCG-1,0.0016275062678451505
Martelella endophytica,0.001624076642509303
Azospirillum thiophilum,0.0016046494874911506
Sphingobium sp. MI1205,0.0015973683438872419
Corynebacterium diphtheriae,0.0015826403958106438
Salinisphaera sp. LB1,0.0015762581034819707
Sphingobacterium sp. B29,0.0015623565284801817
Sulfuricella denitrificans,0.0015609852678132561
Caldilinea aerophila,0.0015583964543801237
Wolbachia endosymbiont of Drosophila melanogaster,0.0015558809950689618
Thioalkalivibrio sulfidiphilus,0.001538322243324462
Sphingomonas sp. JJ-A5,0.0015382413485858283
Sphingomonas sp. FARSPH,0.0015356383690208332
Xanthobacter autotrophicus,0.0015324764296249537
Brevibacterium sandarakinum,0.0015307845268439841
Stenotrophomonas sp. Pemsol,0.0015229515679005688
Sphingomonas melonis,0.0015118472045693352
Porphyrobacter neustonensis,0.001509992711588558
Microvirgula aerodenitrificans,0.0015057699799783028
Hoeflea phototrophica,0.001504138415863783
Hydrogenophaga crassostreae,0.0015004013903840792
Symbiobacterium thermophilum,0.0014982471115083003
Achromobacter denitrificans,0.0014924466555265028
Planctopirus limnophila,0.00149151134288927
Akkermansia glycaniphila,0.001491441424594705
Candidatus Amoebophilus asiaticus,0.0014888662409470968
Isosphaera pallida,0.001487755487810406
Sphingopyxis sp. WS5A3p,0.0014812904199911548
Dietzia psychralcaliphila,0.0014784490380162678
Rhodobacter sphaeroides,0.0014635385548945879
Syntrophobacter fumaroxidans,0.0014614077914921401
Sphingopyxis sp. MG,0.0014531448237988715
Pannonibacter phragmitetus,0.00143684406185957
Porphyrobacter sp. CACIAM 03H1,0.0014212960990866376
Thermus thermophilus,0.0014133552855031134
Alicycliphilus denitrificans,0.0014131706449955303
Sphingorhabdus sp. Alg231-15,0.0013967598800520879
Hyphomonas sp. Mor2,0.0013853891051636101
Roseobacter denitrificans,0.0013795647023383362
Sphingobium herbicidovorans,0.0013767911617094113
Burkholderia phage KS14,0.0013659181126785336
Sporosarcina psychrophila,0.0013609961204269134
Acidiphilium cryptum,0.0013557868082471082
Stenotrophomonas sp. SAU14A_NAIMI4_5,0.0013536030876624872
Rubinisphaera brasiliensis,0.0013433516981743877
Sphingorhabdus sp. YGSMI21,0.0013389193053040974
Sphingorhabdus sp. M41,0.001325426100489987
Rhodovulum sulfidophilum,0.001323541783792003
Candidatus Thiodictyon syntrophicum,0.0013205054900475544
