metabolite,r2,rmse
HILICZ_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,0.2505011211999181,0.8993723088491874
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.23083362735288315,0.7404123403175195
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,0.18760578117975235,0.9119424310295831
HILICZ_negative|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,0.13294159884011492,0.9494424206085137
HILICZ_negative|IK:KCOOTJRKKIDHTM-UHFFFAOYSA-N,0.1325730304835736,0.9594482333264407
HILICZ_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,0.11575725440178963,0.8666991107708282
HILICZ_positive|IK:KDJVHSVOXOZBDR-UHFFFAOYSA-N,0.113447355420489,0.902276118689537
HILICZ_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.1040132076585919,0.9673904225225508
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,0.09877076489934788,0.9863134682977589
HILICZ_negative|IK:ODHCTXKNWHHXJC-UHFFFAOYSA-N,0.07982736349403696,0.969134889928945
HILICZ_negative|IK:IHCCAYCGZOLTEU-UHFFFAOYSA-N,0.07161001251198751,0.9434698361103202
C18_positive|IK:ZUUPZDSDPDQRJK-VXPJCVMDSA-N,0.061362412842187575,0.9552525305375921
HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,0.05436712678262168,0.9921815366229818
HILICZ_negative|IK:WHBMMWSBFZVSSR-GSVOUGTGSA-N,0.03840769555428303,1.007511828692405
HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.03011626737004358,0.9469519988858246
HILICZ_negative|IK:KRKNYBCHXYNGOX-UHFFFAOYSA-N,0.020212661841394475,0.9758741451197412
HILICZ_positive|IK:UAUDZVJPLUQNMU-KTKRTIGZSA-N,0.018010700376829947,1.013125532667402
HILICZ_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,-0.0021951650142972845,1.0157084849509899
HILICZ_negative|IK:AMKYESDOVDKZKV-UHFFFAOYSA-N,-0.004380254723638677,1.0106394665172653
HILICZ_positive|IK:CKTSBUTUHBMZGZ-SHYZEUOFSA-N,-0.008296932132178636,1.0053001121348548
HILICZ_positive|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,-0.015700194617853214,1.1248883624837043
HILICZ_negative|IK:DLIKSSGEMUFQOK-UHFFFAOYSA-N,-0.01638921111904046,1.0452383290157639
HILICZ_positive|IK:OZFDJYNLTZUREV-UHFFFAOYSA-N,-0.017366761061777813,1.037245538319723
HILICZ_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,-0.018249723630582526,0.9934550363076688
C18_positive|IK:BJHIKXHVCXFQLS-PQLUHFTBSA-N,-0.02568157682763683,1.0529086145720148
HILICZ_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,-0.02919292669764295,1.0261586430442202
HILICZ_negative|IK:ZBCATMYQYDCTIZ-UHFFFAOYSA-N,-0.042822413485263944,0.9970185704747603
HILICZ_negative|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,-0.051948721491805294,0.9359463076585798
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,-0.062292141383200494,1.0274889534957092
C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,-0.07048175056615302,1.0896463504524383
C18_positive|IK:WQZGKKKJIJFFOK-PHYPRBDBSA-N,-0.0711382072473008,1.0236074308907928
HILICZ_negative|IK:YCIMNLLNPGFGHC-UHFFFAOYSA-N,-0.07292861027341813,0.9705724634279826
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,-0.09185284212947487,1.0356102672431156
HILICZ_positive|IK:XEAQIWGXBXCYFX-UHFFFAOYSA-N,-0.09848264463101009,1.08718132860219
C18_negative|IK:WQZGKKKJIJFFOK-DVKNGEFBSA-N,-0.09895321532565071,1.058602724874248
HILICZ_positive|IK:LZFOPEXOUVTGJS-UHFFFAOYSA-N,-0.11221241811423721,1.0729223577014524
HILICZ_positive|IK:LJVMNMMAZVWXPY-UHFFFAOYSA-N,-0.1678005606206583,1.0817020100775896
HILICZ_positive|IK:NJMQSVWMCODQIP-FQXXIRCGSA-N,-0.18160922127032153,1.060480863628463
C18_negative|IK:GUBGYTABKSRVRQ-QUYVBRFLSA-N,-0.18922729746225309,1.0296069082809618
HILICZ_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,-0.1940242361419926,1.0767634046106902
HILICZ_negative|IK:VRYALKFFQXWPIH-UHFFFAOYSA-N,-0.19514527353100553,1.0432994166801237
C18_negative|IK:NJRLDXGREKHXGV-IVABAYMNSA-N,-0.2120153987320874,1.0397504153189927
HILICZ_negative|IK:SMUMBCREXHTKFN-VZOUQOBNSA-N,-0.26861381085085156,1.1367010990632422
C18_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,-0.27121363238741725,1.1424614320872726
HILICZ_positive|IK:JHAXQRDTTACRKJ-FQDDALBOSA-N,-0.3161817359919876,1.0396630824698867
HILICZ_positive|IK:YNBADRVTZLEFNH-UHFFFAOYSA-N,-0.3551708648148213,1.0049734352692774
HILICZ_positive|IK:FDGQSTZJBFJUBT-UHFFFAOYSA-N,-0.378717646436171,1.090931071411133
HILICZ_positive|IK:ZBUMLAXYOMYUCL-UHFFFAOYSA-N,-0.42007974335522347,1.149681966386823
HILICZ_negative|IK:FBPFZTCFMRRESA-KVTDHHQDSA-N,-0.49153515748349763,1.1215024794054091
HILICZ_positive|IK:OLXZPDWKRNYJJZ-UHFFFAOYSA-N,-0.6704017792741386,1.0449014693236582
