metabolite,r2,rmse
HILICZ_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,0.2505011211999181,0.8993723088491874
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.23083362735288315,0.7404123403175195
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,0.18760578117975235,0.9119424310295831
HILICZ_negative|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,0.13294159884011492,0.9494424206085137
HILICZ_negative|IK:KCOOTJRKKIDHTM-UHFFFAOYSA-N,0.1325730304835736,0.9594482333264407
HILICZ_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,0.11575725440178963,0.8666991107708282
HILICZ_positive|IK:KDJVHSVOXOZBDR-UHFFFAOYSA-N,0.113447355420489,0.902276118689537
HILICZ_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.1040132076585919,0.9673904225225508
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,0.09877076489934788,0.9863134682977589
HILICZ_negative|IK:ODHCTXKNWHHXJC-UHFFFAOYSA-N,0.07982736349403696,0.969134889928945
