metabolite,r2,rmse
HILICZ_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,-0.20848594308639234,1.083264516243841
C18_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,-0.2095913280323478,1.1144269584638824
C18_negative|IK:NJRLDXGREKHXGV-IVABAYMNSA-N,-0.2424002004007202,1.0527028291226521
HILICZ_positive|IK:FDGQSTZJBFJUBT-UHFFFAOYSA-N,-0.2738022569831515,1.0486019263892132
HILICZ_positive|IK:JHAXQRDTTACRKJ-FQDDALBOSA-N,-0.2782845225644883,1.0245860960805813
HILICZ_positive|IK:NJMQSVWMCODQIP-FQXXIRCGSA-N,-0.2813916828761378,1.1043502929156037
HILICZ_positive|IK:YNBADRVTZLEFNH-UHFFFAOYSA-N,-0.2838500422537127,0.9781708217027679
HILICZ_positive|IK:ZBUMLAXYOMYUCL-UHFFFAOYSA-N,-0.3939450005425271,1.1390536294850706
HILICZ_negative|IK:FBPFZTCFMRRESA-KVTDHHQDSA-N,-0.4028596521159764,1.0876536033510886
HILICZ_positive|IK:OLXZPDWKRNYJJZ-UHFFFAOYSA-N,-0.7553242444032233,1.0711333553891091
