metabolite,r2,rmse
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,0.16570367825843613,0.9241536336539645
HILICZ_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.16099964504194708,0.9361211377692453
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.15018183788187967,0.7782632229284144
HILICZ_negative|IK:KCOOTJRKKIDHTM-UHFFFAOYSA-N,0.1449599855590039,0.9525730860439348
HILICZ_negative|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,0.12426960485466843,0.9541785917933281
HILICZ_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,0.1226428020965391,0.9730658692042635
HILICZ_negative|IK:ODHCTXKNWHHXJC-UHFFFAOYSA-N,0.1145766332108139,0.9506596505904695
HILICZ_positive|IK:KDJVHSVOXOZBDR-UHFFFAOYSA-N,0.10985311330108993,0.9041032626112507
C18_positive|IK:ZUUPZDSDPDQRJK-VXPJCVMDSA-N,0.08863628697516979,0.94127189727863
HILICZ_negative|IK:WHBMMWSBFZVSSR-GSVOUGTGSA-N,0.07453947725284382,0.9884019944523278
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,0.07190788315484598,1.0009050252885208
HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.05469930840236026,0.9348740724516278
HILICZ_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,0.04562073423578561,0.9004157768784523
HILICZ_negative|IK:KRKNYBCHXYNGOX-UHFFFAOYSA-N,0.03497425613870786,0.96849492675854
HILICZ_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.034395974204869506,0.9939525332455583
HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,0.03187783826565982,1.0039103723233331
HILICZ_negative|IK:DLIKSSGEMUFQOK-UHFFFAOYSA-N,0.02921281896450345,1.0215210497569984
C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,0.023988644521957814,1.0404551637338941
HILICZ_positive|IK:CKTSBUTUHBMZGZ-SHYZEUOFSA-N,0.021046781652718893,0.990563856176317
HILICZ_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,0.015074400032985102,0.9770634739861529
HILICZ_positive|IK:OZFDJYNLTZUREV-UHFFFAOYSA-N,0.0023725794886582108,1.0271337316710685
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,-0.0016108663146050528,0.9977108402176252
HILICZ_negative|IK:IHCCAYCGZOLTEU-UHFFFAOYSA-N,-0.004796793849364933,0.9815262436869128
HILICZ_negative|IK:ZBCATMYQYDCTIZ-UHFFFAOYSA-N,-0.00791411259811059,0.9801890175035106
HILICZ_positive|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,-0.014231520453939384,1.124074789671158
HILICZ_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,-0.01820509263669301,1.0237892410898592
HILICZ_positive|IK:UAUDZVJPLUQNMU-KTKRTIGZSA-N,-0.020731572578392532,1.0329175511436135
C18_positive|IK:BJHIKXHVCXFQLS-PQLUHFTBSA-N,-0.021576310343669913,1.0507993808839615
HILICZ_negative|IK:AMKYESDOVDKZKV-UHFFFAOYSA-N,-0.028446834795710307,1.0226760696873032
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,-0.0385626783752,1.0100215705572084
HILICZ_negative|IK:YCIMNLLNPGFGHC-UHFFFAOYSA-N,-0.04599086626650095,0.9583110559896232
C18_positive|IK:WQZGKKKJIJFFOK-PHYPRBDBSA-N,-0.06126956713681597,1.0188811555133708
HILICZ_positive|IK:LZFOPEXOUVTGJS-UHFFFAOYSA-N,-0.07440060787313874,1.0545266217627602
HILICZ_positive|IK:XEAQIWGXBXCYFX-UHFFFAOYSA-N,-0.07585781597367447,1.0759270466668405
HILICZ_positive|IK:LJVMNMMAZVWXPY-UHFFFAOYSA-N,-0.10808140331863059,1.0536809545270287
HILICZ_negative|IK:VRYALKFFQXWPIH-UHFFFAOYSA-N,-0.10936523568288226,1.0051616059078583
C18_negative|IK:WQZGKKKJIJFFOK-DVKNGEFBSA-N,-0.12484713686631022,1.0710016974330878
HILICZ_negative|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,-0.14776916831718,0.9776444236866924
HILICZ_negative|IK:SMUMBCREXHTKFN-VZOUQOBNSA-N,-0.19976737818110313,1.105427048367042
C18_negative|IK:GUBGYTABKSRVRQ-QUYVBRFLSA-N,-0.2007162774280964,1.0345684073953394
HILICZ_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,-0.20848594308639234,1.083264516243841
C18_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,-0.2095913280323478,1.1144269584638824
C18_negative|IK:NJRLDXGREKHXGV-IVABAYMNSA-N,-0.2424002004007202,1.0527028291226521
HILICZ_positive|IK:FDGQSTZJBFJUBT-UHFFFAOYSA-N,-0.2738022569831515,1.0486019263892132
HILICZ_positive|IK:JHAXQRDTTACRKJ-FQDDALBOSA-N,-0.2782845225644883,1.0245860960805813
HILICZ_positive|IK:NJMQSVWMCODQIP-FQXXIRCGSA-N,-0.2813916828761378,1.1043502929156037
HILICZ_positive|IK:YNBADRVTZLEFNH-UHFFFAOYSA-N,-0.2838500422537127,0.9781708217027679
HILICZ_positive|IK:ZBUMLAXYOMYUCL-UHFFFAOYSA-N,-0.3939450005425271,1.1390536294850706
