metabolite,r2,rmse
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,0.16570367825843613,0.9241536336539645
HILICZ_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.16099964504194708,0.9361211377692453
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.15018183788187967,0.7782632229284144
HILICZ_negative|IK:KCOOTJRKKIDHTM-UHFFFAOYSA-N,0.1449599855590039,0.9525730860439348
HILICZ_negative|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,0.12426960485466843,0.9541785917933281
HILICZ_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,0.1226428020965391,0.9730658692042635
HILICZ_negative|IK:ODHCTXKNWHHXJC-UHFFFAOYSA-N,0.1145766332108139,0.9506596505904695
HILICZ_positive|IK:KDJVHSVOXOZBDR-UHFFFAOYSA-N,0.10985311330108993,0.9041032626112507
C18_positive|IK:ZUUPZDSDPDQRJK-VXPJCVMDSA-N,0.08863628697516979,0.94127189727863
HILICZ_negative|IK:WHBMMWSBFZVSSR-GSVOUGTGSA-N,0.07453947725284382,0.9884019944523278
