metabolite,feature,importance,feature_type
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,Mesorhizobium amorphae,0.11037160269404972,soil
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,meta_PC12,0.043116835882328605,metagenomics_pca
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,meta_PC19,0.039856507075807346,metagenomics_pca
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.029710005639715983,soil
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,soil_NO3,0.024587174023203227,soil
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,meta_PC46,0.023930737943531146,metagenomics_pca
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,meta_PC22,0.018839115998841523,metagenomics_pca
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,denit__Rate (microgN/kilogram dry weight soil/day),0.014743356690753192,soil
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,Stenotrophomonas maltophilia,0.012925803182832455,soil
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,meta_PC37,0.012888269572529512,metagenomics_pca
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,Paraburkholderia phytofirmans,0.012688984085852017,soil
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,psize__Soil Sand Content %,0.012533125779376013,soil
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,meta_PC35,0.012488430491014252,metagenomics_pca
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,meta_PC31,0.012349384275259306,metagenomics_pca
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,meta_PC41,0.012223190491541,metagenomics_pca
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,Sphingomonas sp. LM7,0.011965452445935615,soil
