metabolite,r2,rmse,soil_importance_sum,metagenomics_pca_importance_sum
HILICZ_negative|IK:ODHCTXKNWHHXJC-UHFFFAOYSA-N,0.1627802108342501,0.9244199603177166,0.6639978679744483,0.3360021320255518
HILICZ_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,0.1554902969393548,0.9546767366582886,0.6929656615091482,0.3070343384908518
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,0.14050902662375075,0.9380039581291951,0.6402197049668675,0.3597802950331325
HILICZ_negative|IK:KCOOTJRKKIDHTM-UHFFFAOYSA-N,0.12389224388144793,0.9642371272177684,0.7435167382894624,0.2564832617105376
HILICZ_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.09431548512926036,0.9726116128812946,0.6953918125293194,0.3046081874706807
HILICZ_negative|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,0.09127572833739339,0.9719871436364595,0.6164448315162477,0.3835551684837523
C18_positive|IK:ZUUPZDSDPDQRJK-VXPJCVMDSA-N,0.08424059507604842,0.943539139291955,0.5808959309831782,0.4191040690168219
HILICZ_negative|IK:WHBMMWSBFZVSSR-GSVOUGTGSA-N,0.029691704136236785,1.012067634213352,0.4812532197474462,0.5187467802525537
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,-0.040726547162611926,0.8612551272395569,0.8023440728938509,0.19765592710614913
HILICZ_positive|IK:KDJVHSVOXOZBDR-UHFFFAOYSA-N,-0.06489281726244966,0.9888721519581887,0.45408713691775215,0.545912863082248
