metabolite,mean_r2,std_r2,mean_rmse,zero_fraction,predictability_class,assay
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.6270071367326707,0.122484136047117,3.803709842924015,0.419047619047619,strong,C18_negative
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.5402344177738825,0.1490153355364927,3.296063234194918,0.7238095238095238,strong,C18_positive
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.5259169762325082,0.1310450385843312,3.670410305352626,0.5523809523809524,strong,C18_negative
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.4251560768231325,0.1702356169760661,3.5515067172141537,0.7619047619047619,strong,C18_negative
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,0.4134549296256981,0.2099966348442521,4.492308257105132,0.5714285714285714,strong,C18_positive
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,0.4009690176676777,0.1756462848509124,4.194820979785412,0.8571428571428571,strong,C18_negative
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.3993812969241059,0.2165076134336471,4.224067885092016,0.4666666666666667,strong,C18_negative
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0.3795224843753771,0.0993317438464611,4.058709340884631,0.6857142857142857,strong,C18_negative
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.3751762218244152,0.1154039073488198,4.522875102882021,0.5047619047619047,strong,C18_positive
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.3673770313652149,0.1826900275144654,5.000647773722671,0.6285714285714286,strong,HILICZ_positive
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.3660031575100643,0.155238227808691,1.3556326188488887,0.0,strong,C18_negative
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,0.3556712382062378,0.0779053780241314,3.4075305979897488,0.780952380952381,strong,C18_positive
C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.3471710845771482,0.1522646062351169,1.069633023293289,0.0,strong,C18_positive
C18_positive|NAME:,0.3079350910827062,0.128063902885127,0.5458200402624873,0.0,strong,C18_positive
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,0.3053414538820127,0.222967058631559,4.02002313547624,0.6857142857142857,strong,C18_negative
