metabolite,r2_soil,r2_mg,r2_fusion,best_source,fusion_gain
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.6456490172366054,0.5091286303447543,0.6270071367326706,soil,-0.018641880503934782
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.5020789803146262,0.31497497906700767,0.5402344177738825,fusion,0.038155437459256314
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.5568076135342622,0.3543796276893402,0.5259169762325081,soil,-0.03089063730175412
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.45487370452789977,0.2395956252416236,0.4251560768231325,soil,-0.02971762770476727
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,0.43716745448969985,0.36199252339886695,0.41345492962569813,soil,-0.023712524864001716
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,0.37498828652865085,0.12069843913494707,0.40096901766767773,fusion,0.02598073113902688
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.38004199821529394,0.30063216846372237,0.3993812969241059,fusion,0.01933929870881196
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0.36041468755239664,0.26536019325170795,0.3795224843753771,fusion,0.019107796822980472
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.3531610926191437,0.2891958892979435,0.3751762218244152,fusion,0.02201512920527149
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.4077012397704916,0.1741843797963149,0.367377031365215,soil,-0.04032420840527662
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.346873320594126,0.35459182627845076,0.3660031575100639,fusion,0.011411331231613142
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,0.35889965916208616,-0.00470623200732212,0.35567123820623786,soil,-0.003228420955848299
C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.28123094910387453,0.314243424429574,0.34717108457714885,fusion,0.032927660147574866
C18_positive|NAME:,0.30160009367946317,0.26383430699240373,0.30793509108270695,fusion,0.006334997403243781
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,0.29538953426440717,0.25098662077533856,0.3053414538820127,fusion,0.009951919617605554
C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,0.2761337868751776,0.23641331523654366,0.2969685838782466,fusion,0.020834797003069006
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.2736943936493722,0.26387835732989673,0.27665313570202377,fusion,0.002958742052651564
C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,0.2770033136128952,0.11990460930616087,0.27368191995493457,soil,-0.0033213936579606362
