metabolite,mg_feature,importance,spearman_corr,direction,putative_role
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,meta_PC31,0.03137029988670823,-0.08089355681156547,weak,uncertain
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,meta_PC4,0.026385218185500884,-0.09106540751934748,weak,uncertain
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,meta_PC30,0.012113742208739665,0.05450143234072887,weak,uncertain
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,meta_PC46,0.007164462829626143,0.12317783082907657,weak,uncertain
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,meta_PC36,0.006938391876698664,0.11348722897198531,weak,uncertain
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,meta_PC35,0.0063970404552637535,0.030592114440501434,weak,uncertain
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,meta_PC33,0.006154817857482779,-0.008115605618466953,weak,uncertain
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,meta_PC32,0.005935073413709411,0.2126463671620411,positive,putative_production
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,meta_PC5,0.005492341312403964,-0.0742216977451708,weak,uncertain
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,meta_PC44,0.005178150724665411,0.12455595253787284,weak,uncertain
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,meta_PC26,0.01791866454011914,-0.16289654528536662,weak,uncertain
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,meta_PC20,0.013064132667685751,-0.09701557047822205,weak,uncertain
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,meta_PC32,0.010838232699257348,-0.10295286546666009,weak,uncertain
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,meta_PC22,0.010034241099577467,0.1215143658681041,weak,uncertain
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,meta_PC37,0.008811987868160544,0.16002585889927823,weak,uncertain
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,meta_PC40,0.006327676859485739,-0.09308860779576879,weak,uncertain
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,meta_PC49,0.005173967678569608,-0.11781739883082704,weak,uncertain
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,meta_PC43,0.004466515048491854,0.040436641764871384,weak,uncertain
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,meta_PC42,0.004252904792779768,-0.03763410223661296,weak,uncertain
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,meta_PC9,0.0035421943259883503,-0.14195842321710164,weak,uncertain
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,meta_PC31,0.023344130028463098,-0.1135793446685609,weak,uncertain
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,meta_PC2,0.021409547827202793,-0.36958649631166657,negative,putative_consumption
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,meta_PC19,0.020033665484343655,0.08662099127442548,weak,uncertain
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,meta_PC15,0.016899991274656342,-0.09832886590553236,weak,uncertain
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,meta_PC38,0.01642797178739392,0.09170808440288612,weak,uncertain
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,meta_PC12,0.015745264541255414,0.004525460766082828,weak,uncertain
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,meta_PC33,0.0150793387374778,-0.08635097571558999,weak,uncertain
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,meta_PC46,0.014287783432787814,-0.15154353224083092,weak,uncertain
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,meta_PC44,0.012325735382292877,-0.043429302483100354,weak,uncertain
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,meta_PC22,0.011284405870576428,0.177000599127841,weak,uncertain
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,meta_PC50,0.038855840390977045,0.05136098862194826,weak,uncertain
