metabolite,top_importance_sum,n_top_features,best_source,r2_mg,r2_fusion
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.13221189694492175,25,fusion,0.3149749790670076,0.5402344177738825
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,0.11005964356463614,25,fusion,0.120698439134947,0.4009690176676777
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.1256513473318636,25,fusion,0.3006321684637223,0.3993812969241059
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0.13274499455394312,25,fusion,0.2653601932517079,0.3795224843753771
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.11622938354524155,25,fusion,0.2891958892979435,0.3751762218244152
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.10481250699629972,25,fusion,0.3545918262784507,0.3660031575100639
C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.08726449255469589,25,fusion,0.314243424429574,0.3471710845771488
C18_positive|NAME:,0.09750136989127886,25,fusion,0.2638343069924037,0.3079350910827069
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,0.10975782862058242,25,fusion,0.2509866207753385,0.3053414538820127
C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,0.11950094903334861,25,fusion,0.2364133152365436,0.2969685838782466
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.11899339575120475,25,fusion,0.2638783573298967,0.2766531357020237
C18_positive|IK:OVASVJPBDPJABT-UHFFFAOYSA-N,0.11830552346729742,25,mg,0.3196088243605822,0.2727503224613515
C18_negative|NAME:,0.0882818720223683,25,fusion,0.2046400376530238,0.2650097342725073
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,0.10305386039508117,25,mg,0.2792136844005882,0.2640203713838597
C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,0.08590186661464863,25,mg,0.2702049066999128,0.2556883026118656
C18_positive|IK:PRYIJAGAEJZDBO-ZEQHCUNVSA-N,0.10330070251159332,25,fusion,0.2399767968617355,0.2451674493001931
HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,0.11003854793991107,25,fusion,0.2193546703617362,0.2366296121463798
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,0.10106805043769204,25,fusion,0.1799503673124513,0.234930461146315
HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,0.09311655410667674,25,fusion,0.2121990529412923,0.2329618601360465
C18_positive|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.09627289166492616,25,mg,0.290230791473433,0.2318497659330937
HILICZ_positive|IK:SIOXPEMLGUPBBT-UHFFFAOYSA-N,0.10854806817170427,25,fusion,0.1690269433336328,0.2270229306338781
C18_negative|IK:PVWALMCXZUMCBB-UHFFFAOYSA-N,0.09444468064390381,25,fusion,-0.0285903983996567,0.2246797760039375
C18_positive|IK:RGHMISIYKIHAJW-UHFFFAOYSA-N,0.10329472258608277,25,mg,0.2949870136066884,0.2243505115430345
C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.09648579923196185,25,fusion,0.045975302893579,0.2236252436080126
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,0.09389561565298626,25,fusion,0.2026117918706659,0.2227711940741482
C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,0.09844822473258474,25,mg,0.2692800905198134,0.22011352872141
C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,0.09354030744229257,25,fusion,0.2063001682401674,0.2118162016261878
C18_negative|IK:HMUJXQRRKBLVOO-UHFFFAOYSA-N,0.08220336989884666,25,fusion,0.106672978007097,0.2016672258784415
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,0.08327719426750839,25,fusion,0.1088405957473307,0.2012817311099015
