metabolite,mg_feature,importance,spearman_corr,spearman_pvalue,abs_spearman_corr,direction,putative_role,confidence,r2_soil,r2_mg,r2_fusion,best_source,fusion_gain
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Corynebacterium callunae,0.015825540501623506,0.6597338707098738,1.9522244446030815e-14,0.6597338707098738,positive,putative_production,high,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Amycolatopsis keratiniphila,0.00827684041147348,0.6354418628448579,3.3012589099533743e-13,0.6354418628448579,positive,putative_production,medium,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Actinoalloteichus sp. AHMU CJ021,0.005498191707841824,0.6415365300268152,1.6627753125472694e-13,0.6415365300268152,positive,putative_production,medium,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Amycolatopsis methanolica,0.005321276416959223,0.6571818837071314,2.6597845497780235e-14,0.6571818837071314,positive,putative_production,medium,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Nocardiopsis dassonvillei,0.005281120301683111,0.6622438534990771,1.435987639212121e-14,0.6622438534990771,positive,putative_production,medium,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Corynebacterium sphenisci,0.005269241191660219,0.6354353319204862,3.3036590036042047e-13,0.6354353319204862,positive,putative_production,medium,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Micromonospora narathiwatensis,0.004993588372691623,0.6426812725046094,1.459300647621397e-13,0.6426812725046094,positive,putative_production,low,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Kutzneria albida,0.004674643289177582,0.675617896922931,2.657126778725919e-15,0.675617896922931,positive,putative_production,low,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Streptomyces sp. 2323.1,0.004639073832447327,0.5829065399428545,6.841200511178172e-11,0.5829065399428545,positive,putative_production,low,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Frankia symbiont of Datisca glomerata,0.004572688171458594,0.6462664850968641,9.661552529428109e-14,0.6462664850968641,positive,putative_production,low,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Rhizobium sp. CCGE532,0.004559154754410001,0.6581374679674188,2.369756005258264e-14,0.6581374679674188,positive,putative_production,low,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Streptomyces sp. SCSIO 03032,0.004559069166789602,0.6688357025104826,6.320007332996303e-15,0.6688357025104826,positive,putative_production,low,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
