metabolite,mg_feature,importance,spearman_corr,spearman_pvalue,abs_spearman_corr,direction,putative_role,confidence,r2_soil,r2_mg,r2_fusion,best_source,fusion_gain
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Corynebacterium callunae,0.015825540501623506,0.6597338707098738,1.9522244446030815e-14,0.6597338707098738,positive,putative_production,high,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Amycolatopsis keratiniphila,0.00827684041147348,0.6354418628448579,3.3012589099533743e-13,0.6354418628448579,positive,putative_production,medium,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Actinoalloteichus sp. AHMU CJ021,0.005498191707841824,0.6415365300268152,1.6627753125472694e-13,0.6415365300268152,positive,putative_production,medium,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Amycolatopsis methanolica,0.005321276416959223,0.6571818837071314,2.6597845497780235e-14,0.6571818837071314,positive,putative_production,medium,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Nocardiopsis dassonvillei,0.005281120301683111,0.6622438534990771,1.435987639212121e-14,0.6622438534990771,positive,putative_production,medium,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Corynebacterium sphenisci,0.005269241191660219,0.6354353319204862,3.3036590036042047e-13,0.6354353319204862,positive,putative_production,medium,0.3800419982152939,0.3006321684637223,0.3993812969241059,fusion,0.0193392987088119
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,Pseudomonas entomophila,0.008092014015183079,0.5252833488009356,8.764806870473201e-09,0.5252833488009356,positive,putative_production,medium,0.3749882865286508,0.120698439134947,0.4009690176676777,fusion,0.0259807311390268
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,Planococcus plakortidis,0.00546571661249837,-0.464763694596946,5.894509076175886e-07,0.464763694596946,negative,putative_consumption,medium,0.3749882865286508,0.120698439134947,0.4009690176676777,fusion,0.0259807311390268
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,Calothrix brevissima,0.005403628946746597,-0.4944161704807244,8.29920072047028e-08,0.4944161704807244,negative,putative_consumption,medium,0.3749882865286508,0.120698439134947,0.4009690176676777,fusion,0.0259807311390268
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,Pseudomonas sp. CMR5c,0.005073098910811212,0.5230149692101815,1.0419274336897273e-08,0.5230149692101815,positive,putative_production,medium,0.3749882865286508,0.120698439134947,0.4009690176676777,fusion,0.0259807311390268
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,Corynebacterium choanis,0.005045927364188627,-0.4884044236104098,1.2537347142861803e-07,0.4884044236104098,negative,putative_consumption,medium,0.3749882865286508,0.120698439134947,0.4009690176676777,fusion,0.0259807311390268
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,Actinomyces sp. VUL4_3,0.009639058855643354,-0.6502624787533076,6.061885839849013e-14,0.6502624787533076,negative,putative_consumption,medium,0.2609971662175115,0.2792136844005882,0.2640203713838597,mg,-0.0151933130167285
