mg_feature,n_metabolites,mean_importance,max_importance,mean_abs_corr
Actinomyces sp. VUL4_3,20,0.0071724291178712814,0.011161102119065172,0.5831240081050111
Nocardiopsis dassonvillei,19,0.0037468736053943795,0.0066484246388178484,0.5451015901397386
Corynebacterium callunae,17,0.007481211055029322,0.015825540501623506,0.5348309692022037
Bifidobacterium angulatum,15,0.003637182013400603,0.004491785391319767,0.5042906500911367
Gloeomargarita lithophora,14,0.004254428728875282,0.006374843244069674,0.5446933207133063
Sediminispirochaeta smaragdinae,13,0.004638575122290032,0.007082937013795998,0.555241080486412
Amycolatopsis keratiniphila,12,0.004706069803194893,0.00827684041147348,0.5189364644244497
Actinoalloteichus sp. AHMU CJ021,11,0.003357037473074823,0.005498191707841824,0.5193569199030819
Thermomonospora curvata,10,0.00416521411869339,0.0076240003503084556,0.5444824303155544
Corynebacterium sphenisci,10,0.0034894957264230363,0.005269241191660219,0.5185514902636372
Nocardiopsis gilva,9,0.004745545270257099,0.007823293904274444,0.5203422336053722
Micromonospora narathiwatensis,9,0.0034754488814650727,0.004993588372691623,0.5188611265868178
Candidatus Planktophila lacus,9,0.003755649254145078,0.0044217001526745715,0.5433844458871099
Rhizobium sp. CCGE532,8,0.007094551521931169,0.012201470516637282,0.5295095460530422
Pseudomonas umsongensis,8,0.0037720986557987606,0.005408958356970763,0.542802689148616
Amycolatopsis methanolica,8,0.004238198410295418,0.005321276416959223,0.546884063194526
Streptomyces sp. SCSIO 03032,8,0.003539971551756496,0.004880585642817746,0.5381633290721693
Salinispira pacifica,8,0.0037623796633695786,0.004630344725756547,0.5445085464961553
Micromonospora inositola,8,0.0033816628836507833,0.003631275323592822,0.5194112426539187
Thermanaerovibrio velox,7,0.006164270209438762,0.009027110028890147,0.5165022838480796
Kutzneria albida,7,0.004466819129929378,0.006616335988925762,0.562341669996923
Halothiobacillus neapolitanus,7,0.004189377640624549,0.00625470281160149,0.4537549499989884
Amycolatopsis albispora,7,0.004041286453641054,0.00622827745751352,0.5385831630793639
Owenweeksia hongkongensis,7,0.003982117218368514,0.006000438168756879,0.5396192122890828
Actinobacteria bacterium IMCC26077,7,0.004236153448601328,0.005204894582296272,0.5327421262383905
Oscillatoria acuminata,7,0.0038210857296711205,0.00507308734526276,0.5169090940060963
Pontibacter actiniarum,7,0.0036744541963648907,0.004959524313827433,0.48976756083522827
Frankia symbiont of Datisca glomerata,7,0.0036511144683692037,0.004853885716083908,0.5441489065156937
Frankineae bacterium MT45,7,0.0032989985284342894,0.00417963590914032,0.5196867399322058
Thermobifida fusca,6,0.0038507606978598705,0.007488173922988868,0.5247432389083325
Prevotella intermedia,6,0.004392253692691848,0.0055045674321751595,0.513685638607477
