metabolite,r2_real,r2_null_mean,p_perm,p_fdr,sig_fdr005
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.688,-0.045,0.0323,0.0323,True
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.597,-0.046,0.0323,0.0323,True
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.527,-0.064,0.0323,0.0323,True
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,0.499,-0.057,0.0323,0.0323,True
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.491,-0.044,0.0323,0.0323,True
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.461,-0.069,0.0323,0.0323,True
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0.446,-0.068,0.0323,0.0323,True
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,0.429,-0.066,0.0323,0.0323,True
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.404,-0.064,0.0323,0.0323,True
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.407,-0.045,0.0323,0.0323,True
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.404,-0.066,0.0323,0.0323,True
C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.391,-0.06,0.0323,0.0323,True
C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,0.38,-0.055,0.0323,0.0323,True
C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.359,-0.055,0.0323,0.0323,True
HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,0.364,-0.053,0.0323,0.0323,True
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.36,-0.056,0.0323,0.0323,True
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,0.365,-0.05,0.0323,0.0323,True
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.364,-0.049,0.0323,0.0323,True
C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,0.367,-0.07,0.0323,0.0323,True
C18_positive|NAME:,0.344,-0.055,0.0323,0.0323,True
C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,0.319,-0.049,0.0323,0.0323,True
C18_positive|IK:OVASVJPBDPJABT-UHFFFAOYSA-N,0.337,-0.063,0.0323,0.0323,True
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,0.328,-0.073,0.0323,0.0323,True
C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,0.317,-0.047,0.0323,0.0323,True
C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,0.314,-0.062,0.0323,0.0323,True
HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,0.318,-0.063,0.0323,0.0323,True
C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.32,-0.05,0.0323,0.0323,True
C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.302,-0.061,0.0323,0.0323,True
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,0.312,-0.063,0.0323,0.0323,True
C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,0.291,-0.059,0.0323,0.0323,True
C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.296,-0.049,0.0323,0.0323,True
C18_positive|IK:RGHMISIYKIHAJW-UHFFFAOYSA-N,0.294,-0.058,0.0323,0.0323,True
HILICZ_positive|IK:SIOXPEMLGUPBBT-UHFFFAOYSA-N,0.286,-0.064,0.0323,0.0323,True
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,0.282,-0.051,0.0323,0.0323,True
C18_negative|NAME:,0.271,-0.056,0.0323,0.0323,True
C18_positive|IK:PRYIJAGAEJZDBO-ZEQHCUNVSA-N,0.266,-0.053,0.0323,0.0323,True
HILICZ_negative|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,0.28,-0.058,0.0323,0.0323,True
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,0.283,-0.064,0.0323,0.0323,True
C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,0.262,-0.053,0.0323,0.0323,True
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,0.257,-0.057,0.0323,0.0323,True
HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,0.242,-0.055,0.0323,0.0323,True
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,0.233,-0.072,0.0323,0.0323,True
HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,0.23,-0.057,0.0323,0.0323,True
C18_negative|IK:LJCWONGJFPCTTL-ZETCQYMHSA-N,0.203,-0.08,0.0323,0.0323,True
C18_negative|IK:HMUJXQRRKBLVOO-UHFFFAOYSA-N,0.187,-0.064,0.0323,0.0323,True
C18_positive|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.151,-0.064,0.0323,0.0323,True
C18_negative|IK:PVWALMCXZUMCBB-UHFFFAOYSA-N,0.124,-0.053,0.0323,0.0323,True
