metabolite,plateforme,inchikey,CID,nom,formule,poids,statut,r2_real
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,C18_negative,RGHHSNMVTDWUBI-UHFFFAOYSA-N,126,4-Hydroxybenzaldehyde,C7H6O2,122.12,trouve,0.688
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,C18_negative,WLJVXDMOQOGPHL-UHFFFAOYSA-N,999,Phenylacetic Acid,C8H8O2,136.15,trouve,0.597
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,C18_positive,LVGKNOAMLMIIKO-QXMHVHEDSA-N,5363269,Ethyl Oleate,C20H38O2,310.5,trouve,0.527
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,C18_positive,MECHNRXZTMCUDQ-UHFFFAOYSA-N,3249,Npc67059,C28H44O,396.6,trouve,0.499
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,C18_negative,AIONOLUJZLIMTK-UHFFFAOYSA-N,3593,"5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one",C16H14O6,302.28,trouve,0.491
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,HILICZ_positive,OYTCZOJKXCTBHG-UHFFFAOYSA-N,5151089,"2-(tert-butylamino)-6-(ethylamino)-1H-1,3,5-triazin-4-one",C9H17N5O,211.26,trouve,0.461
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,C18_negative,LTSJJOKAWSCMBC-UHFFFAOYSA-N,5378832,"3,7-Dihydroxy-3',4'-dimethoxyflavone",C17H14O6,314.29,trouve,0.446
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,C18_positive,GUMFPOIJOXLCLA-JKSUJKDBSA-N,44446832,7-Hydroxy-6-methoxydihydroflavonol,C16H14O5,286.28,trouve,0.429
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,C18_negative,GYUCMTKUEQLBJW-UHFFFAOYSA-N,45359174,"19-Hydroxy-18-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyicosanoic acid",C26H50O9,506.7,trouve,0.404
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,C18_negative,NGFMICBWJRZIBI-UHFFFAOYSA-N,5145,"beta-D-Glucopyranoside, 2-(hydroxymethyl)phenyl",C13H18O7,286.28,trouve,0.407
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,C18_positive,MBIZFBDREVRUHY-UHFFFAOYSA-N,15109,"2,6-Dimethoxybenzoic Acid",C9H10O4,182.17,trouve,0.404
C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,C18_positive,OYTCZOJKXCTBHG-UHFFFAOYSA-N,5151089,"2-(tert-butylamino)-6-(ethylamino)-1H-1,3,5-triazin-4-one",C9H17N5O,211.26,trouve,0.391
C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,C18_positive,IBMRTYCHDPMBFN-UHFFFAOYSA-N,73917,Monomethyl glutarate,C6H10O4,146.14,trouve,0.38
C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,C18_positive,GHOKWGTUZJEAQD-UHFFFAOYSA-N,988,(+-)-Pantothenic acid,C9H17NO5,219.23,trouve,0.359
HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,HILICZ_positive,XPCTZQVDEJYUGT-UHFFFAOYSA-N,8369,Maltol,C6H6O3,126.11,trouve,0.364
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,HILICZ_negative,LWYJCVVIVLBLID-UHFFFAOYSA-N,734936,"2-(4-Hydroxy-3-methoxyphenyl)-6,8-dimethylchromen-4-one",C18H16O4,296.3,trouve,0.36
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,C18_negative,GUNGQVJAKLIYDG-JXMROGBWSA-N,5380645,2'-Hydroxy-4'-Methoxychalcone,C16H14O3,254.28,trouve,0.365
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,C18_negative,GHOKWGTUZJEAQD-UHFFFAOYSA-N,988,(+-)-Pantothenic acid,C9H17NO5,219.23,trouve,0.364
C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,C18_negative,ZWNLSRDFHQCTQW-UHFFFAOYSA-N,4013485,"4-Hydroxy-2',4',6'-trimethoxychalcone",C18H18O5,314.3,trouve,0.367
C18_positive|NAME:,C18_positive,,,pas d'InChIKey,,,invalide,0.344
C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,C18_negative,KDYFGRWQOYBRFD-UHFFFAOYSA-N,1110,Succinic Acid,C4H6O4,118.09,trouve,0.319
C18_positive|IK:OVASVJPBDPJABT-UHFFFAOYSA-N,C18_positive,OVASVJPBDPJABT-UHFFFAOYSA-N,102571571,"4,6-Dihydroxy-3-methyl-2,3-dihydroisoindol-1-one",C9H9NO3,179.17,trouve,0.337
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,C18_negative,CKEXCBVNKRHAMX-UHFFFAOYSA-N,321346,"2,3-Dihydro-5-hydroxy-7-methoxy-2-(4-methoxyphenyl)-4H-1-benzopyran-4-one",C17H16O5,300.30,trouve,0.328
C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,C18_negative,OKVJCVWFVRATSG-UHFFFAOYSA-N,102,3-Hydroxybenzyl alcohol,C7H8O2,124.14,trouve,0.317
C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,C18_positive,WCGUUGGRBIKTOS-UHFFFAOYSA-N,220774,"Urs-12-en-28-oic acid, 3-hydroxy-, (3beta)-",C30H48O3,456.7,trouve,0.314
HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,HILICZ_negative,QZZGJDVWLFXDLK-UHFFFAOYSA-N,11197,Tetracosanoic Acid,C24H48O2,368.6,trouve,0.318
C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,C18_positive,PUQSUZTXKPLAPR-UJPOAAIJSA-N,115067,Gastrodin,C13H18O7,286.28,trouve,0.32
C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,C18_positive,LWYJCVVIVLBLID-UHFFFAOYSA-N,734936,"2-(4-Hydroxy-3-methoxyphenyl)-6,8-dimethylchromen-4-one",C18H16O4,296.3,trouve,0.302
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,C18_negative,BJRNKVDFDLYUGJ-RMPHRYRLSA-N,440936,Arbutin,C12H16O7,272.25,trouve,0.312
C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,C18_negative,UGAGPNKCDRTDHP-UHFFFAOYSA-N,10466,16-Hydroxyhexadecanoic acid,C16H32O3,272.42,trouve,0.291
C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,C18_positive,NGFMICBWJRZIBI-UHFFFAOYSA-N,5145,"beta-D-Glucopyranoside, 2-(hydroxymethyl)phenyl",C13H18O7,286.28,trouve,0.296
C18_positive|IK:RGHMISIYKIHAJW-UHFFFAOYSA-N,C18_positive,RGHMISIYKIHAJW-UHFFFAOYSA-N,85782,"(+-)-3,4-Dihydroxymandelic acid",C8H8O5,184.15,trouve,0.294
HILICZ_positive|IK:SIOXPEMLGUPBBT-UHFFFAOYSA-N,HILICZ_positive,SIOXPEMLGUPBBT-UHFFFAOYSA-N,1018,Picolinic acid,C6H5NO2,123.11,trouve,0.286
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,HILICZ_negative,SLWWJZMPHJJOPH-PHDIDXHHSA-N,439774,3-Dehydroshikimate,C7H8O5,172.13,trouve,0.282
C18_negative|NAME:,C18_negative,,,pas d'InChIKey,,,invalide,0.271
C18_positive|IK:PRYIJAGAEJZDBO-ZEQHCUNVSA-N,C18_positive,PRYIJAGAEJZDBO-ZEQHCUNVSA-N,227037,"5alpha,6alpha-Epoxycholesterol",C27H46O2,402.7,trouve,0.266
HILICZ_negative|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,HILICZ_negative,COLNVLDHVKWLRT-QMMMGPOBSA-N,6140,L-Phenylalanine,C9H11NO2,165.19,trouve,0.28
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,C18_negative,BJEPYKJPYRNKOW-REOHCLBHSA-N,222656,L-Malic Acid,C4H6O5,134.09,trouve,0.283
C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,C18_negative,IQFYYKKMVGJFEH-UHFFFAOYSA-N,1134,1-(2-Deoxypentofuranosyl)-4-hydroxy-5-methylpyrimidin-2(1H)-one,C10H14N2O5,242.23,trouve,0.262
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,HILICZ_negative,JVQYSWDUAOAHFM-UHFFFAOYSA-N,47,alpha-Keto-beta-methylvaleric acid,C6H10O3,130.14,trouve,0.257
HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,HILICZ_negative,AAWZDTNXLSGCEK-LNVDRNJUSA-N,6508,Quinate,C7H12O6,192.17,trouve,0.242
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,HILICZ_positive,KWIUHFFTVRNATP-UHFFFAOYSA-N,247,Betaine,C5H11NO2,117.15,trouve,0.233
HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,HILICZ_positive,COLNVLDHVKWLRT-QMMMGPOBSA-N,6140,L-Phenylalanine,C9H11NO2,165.19,trouve,0.23
C18_negative|IK:LJCWONGJFPCTTL-ZETCQYMHSA-N,C18_negative,LJCWONGJFPCTTL-ZETCQYMHSA-N,36143,Oxfenicine,C8H9NO3,167.16,trouve,0.203
C18_negative|IK:HMUJXQRRKBLVOO-UHFFFAOYSA-N,C18_negative,HMUJXQRRKBLVOO-UHFFFAOYSA-N,5118250,"2,3-Dihydro-5,7-dihydroxy-2-(4-methoxyphenyl)-4H-1-benzopyran-4-one",C16H14O5,286.28,trouve,0.187
C18_positive|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,C18_positive,RGHHSNMVTDWUBI-UHFFFAOYSA-N,126,4-Hydroxybenzaldehyde,C7H6O2,122.12,trouve,0.151
C18_negative|IK:PVWALMCXZUMCBB-UHFFFAOYSA-N,C18_negative,PVWALMCXZUMCBB-UHFFFAOYSA-N,688841,"7,2',3'-Trimethoxyflavone",C18H16O5,312.3,trouve,0.124
