metabolite,plateforme,inchikey,nom,formule,poids,classe_chimique,statut,r2_real
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,C18_negative,RGHHSNMVTDWUBI-UHFFFAOYSA-N,4-Hydroxybenzaldehyde,C7H6O2,122.12,Composés aromatiques / phénoliques,trouve,0.688
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,C18_negative,WLJVXDMOQOGPHL-UHFFFAOYSA-N,Phenylacetic Acid,C8H8O2,136.15,Composés aromatiques / phénoliques,trouve,0.597
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,C18_positive,LVGKNOAMLMIIKO-QXMHVHEDSA-N,Ethyl Oleate,C20H38O2,310.5,Lipides / acides gras,trouve,0.527
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,C18_positive,MECHNRXZTMCUDQ-UHFFFAOYSA-N,Npc67059,C28H44O,396.6,Autres composés annotés,trouve,0.499
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,C18_negative,AIONOLUJZLIMTK-UHFFFAOYSA-N,"5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one",C16H14O6,302.28,Flavonoïdes / chalcones,trouve,0.491
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,HILICZ_positive,OYTCZOJKXCTBHG-UHFFFAOYSA-N,"2-(tert-butylamino)-6-(ethylamino)-1H-1,3,5-triazin-4-one",C9H17N5O,211.26,Autres composés annotés,trouve,0.461
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,C18_negative,LTSJJOKAWSCMBC-UHFFFAOYSA-N,"3,7-Dihydroxy-3',4'-dimethoxyflavone",C17H14O6,314.29,Flavonoïdes / chalcones,trouve,0.446
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,C18_positive,GUMFPOIJOXLCLA-JKSUJKDBSA-N,7-Hydroxy-6-methoxydihydroflavonol,C16H14O5,286.28,Flavonoïdes / chalcones,trouve,0.429
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,C18_negative,NGFMICBWJRZIBI-UHFFFAOYSA-N,"beta-D-Glucopyranoside, 2-(hydroxymethyl)phenyl",C13H18O7,286.28,Composés aromatiques / phénoliques,trouve,0.407
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,C18_negative,GYUCMTKUEQLBJW-UHFFFAOYSA-N,"19-Hydroxy-18-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyicosanoic acid",C26H50O9,506.7,Lipides / acides gras,trouve,0.404
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,C18_positive,MBIZFBDREVRUHY-UHFFFAOYSA-N,"2,6-Dimethoxybenzoic Acid",C9H10O4,182.17,Lipides / acides gras,trouve,0.404
C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,C18_positive,OYTCZOJKXCTBHG-UHFFFAOYSA-N,"2-(tert-butylamino)-6-(ethylamino)-1H-1,3,5-triazin-4-one",C9H17N5O,211.26,Autres composés annotés,trouve,0.391
C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,C18_positive,IBMRTYCHDPMBFN-UHFFFAOYSA-N,Monomethyl glutarate,C6H10O4,146.14,Autres composés annotés,trouve,0.38
C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,C18_negative,ZWNLSRDFHQCTQW-UHFFFAOYSA-N,"4-Hydroxy-2',4',6'-trimethoxychalcone",C18H18O5,314.3,Flavonoïdes / chalcones,trouve,0.367
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,C18_negative,GUNGQVJAKLIYDG-JXMROGBWSA-N,2'-Hydroxy-4'-Methoxychalcone,C16H14O3,254.28,Flavonoïdes / chalcones,trouve,0.365
